Job Title,Industry,Responsibilities,Qualifications,Location,Job Type,Salary Range
Senior CX Manager,Retail,"Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.; Manage and mentor large customer support teams across multiple locations.; Streamline customer service operations, reducing costs while improving CSAT.",Track record of reducing operational costs while improving CX efficiency.; Excellent stakeholder management skills across cross-functional teams.; Understanding of machine learning models applied to customer success.,"San Francisco, CA",Contract,$131k - $157k
Customer Insights Analyst,Tech,"Streamline customer service operations, reducing costs while improving CSAT.; Develop AI-driven automation strategies to optimize service workflows.; Integrate AI-based chatbots and automation solutions for enhanced support.","Proven expertise in AI-driven automation and predictive analytics.; 10+ years of experience in customer experience, AI, or operations leadership.; Data-driven decision-making mindset with expertise in Power BI or Tableau.",Remote,Contract,$87k - $218k
AI Implementation Consultant,Education,"Drive innovation in customer success strategies using AI and ML technologies.; Streamline customer service operations, reducing costs while improving CSAT.; Implement predictive analytics to enhance customer insights.",Excellent stakeholder management skills across cross-functional teams.; Proven expertise in AI-driven automation and predictive analytics.; Experience in implementing workflow automation for large-scale operations.,"Seattle, WA",Remote,$103k - $208k
Customer Insights Analyst,E-commerce,Develop AI-driven automation strategies to optimize service workflows.; Manage and mentor large customer support teams across multiple locations.; Integrate AI-based chatbots and automation solutions for enhanced support.,"Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.; Proven expertise in AI-driven automation and predictive analytics.; Ability to drive customer satisfaction metrics and VoC programs.","Los Angeles, CA",Full-Time,$94k - $190k
Vice President of Customer Success,Tech,Manage and mentor large customer support teams across multiple locations.; Lead customer experience initiatives to improve engagement and retention.; Implement predictive analytics to enhance customer insights.,"Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.; Ability to drive customer satisfaction metrics and VoC programs.; Strong leadership skills with experience managing 50+ team members.","Austin, TX",Full-Time,$81k - $246k
Customer Experience Data Scientist,E-commerce,"Collaborate cross-functionally with sales, marketing, and product teams.; Implement predictive analytics to enhance customer insights.; Lead customer experience initiatives to improve engagement and retention.","10+ years of experience in customer experience, AI, or operations leadership.; Track record of reducing operational costs while improving CX efficiency.; Excellent stakeholder management skills across cross-functional teams.","Los Angeles, CA",Contract,$104k - $166k
Customer Experience Data Scientist,SaaS,Manage and mentor large customer support teams across multiple locations.; Develop AI-driven automation strategies to optimize service workflows.; Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.,Data-driven decision-making mindset with expertise in Power BI or Tableau.; Excellent stakeholder management skills across cross-functional teams.; Track record of reducing operational costs while improving CX efficiency.,Remote,Contract,$125k - $210k
Senior CX Manager,Telecommunications,"Drive innovation in customer success strategies using AI and ML technologies.; Streamline customer service operations, reducing costs while improving CSAT.; Implement predictive analytics to enhance customer insights.",Data-driven decision-making mindset with expertise in Power BI or Tableau.; Strong leadership skills with experience managing 50+ team members.; Ability to drive customer satisfaction metrics and VoC programs.,"Austin, TX",Full-Time,$100k - $182k
AI Implementation Consultant,SaaS,"Streamline customer service operations, reducing costs while improving CSAT.; Collaborate cross-functionally with sales, marketing, and product teams.; Implement predictive analytics to enhance customer insights.",Experience in implementing workflow automation for large-scale operations.; Data-driven decision-making mindset with expertise in Power BI or Tableau.; Track record of reducing operational costs while improving CX efficiency.,"Dallas, TX",Part-Time,$128k - $212k
Senior CX Manager,Finance,Develop strategies to optimize customer journey and retention metrics.; Drive innovation in customer success strategies using AI and ML technologies.; Integrate AI-based chatbots and automation solutions for enhanced support.,Experience in implementing workflow automation for large-scale operations.; Understanding of machine learning models applied to customer success.; Excellent stakeholder management skills across cross-functional teams.,"San Francisco, CA",Remote,$107k - $246k
AI Strategist,Tech,"Develop AI-driven automation strategies to optimize service workflows.; Lead customer experience initiatives to improve engagement and retention.; Collaborate cross-functionally with sales, marketing, and product teams.",Ability to drive customer satisfaction metrics and VoC programs.; Experience in implementing workflow automation for large-scale operations.; Proven expertise in AI-driven automation and predictive analytics.,"Denver, CO",Full-Time,$101k - $161k
Senior CX Manager,Retail,"Integrate AI-based chatbots and automation solutions for enhanced support.; Collaborate cross-functionally with sales, marketing, and product teams.; Develop strategies to optimize customer journey and retention metrics.","10+ years of experience in customer experience, AI, or operations leadership.; Proven expertise in AI-driven automation and predictive analytics.; Experience in implementing workflow automation for large-scale operations.","San Francisco, CA",Remote,$90k - $247k
Customer Support Transformation Lead,Retail,Lead customer experience initiatives to improve engagement and retention.; Develop strategies to optimize customer journey and retention metrics.; Develop AI-driven automation strategies to optimize service workflows.,"Experience in implementing workflow automation for large-scale operations.; 10+ years of experience in customer experience, AI, or operations leadership.; Excellent stakeholder management skills across cross-functional teams.","Austin, TX",Part-Time,$88k - $191k
Customer Insights Analyst,E-commerce,Integrate AI-based chatbots and automation solutions for enhanced support.; Develop AI-driven automation strategies to optimize service workflows.; Lead customer experience initiatives to improve engagement and retention.,"Ability to drive customer satisfaction metrics and VoC programs.; Data-driven decision-making mindset with expertise in Power BI or Tableau.; Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.","Denver, CO",Contract,$143k - $151k
AI Implementation Consultant,Education,Integrate AI-based chatbots and automation solutions for enhanced support.; Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.; Manage and mentor large customer support teams across multiple locations.,"Proven expertise in AI-driven automation and predictive analytics.; 10+ years of experience in customer experience, AI, or operations leadership.; Excellent stakeholder management skills across cross-functional teams.","Dallas, TX",Full-Time,$143k - $242k
Head of Member Services,SaaS,"Streamline customer service operations, reducing costs while improving CSAT.; Develop AI-driven automation strategies to optimize service workflows.; Implement predictive analytics to enhance customer insights.","10+ years of experience in customer experience, AI, or operations leadership.; Track record of reducing operational costs while improving CX efficiency.; Ability to drive customer satisfaction metrics and VoC programs.","Boston, MA",Part-Time,$107k - $221k
Customer Experience Data Scientist,Healthcare,"Streamline customer service operations, reducing costs while improving CSAT.; Manage and mentor large customer support teams across multiple locations.; Implement predictive analytics to enhance customer insights.",Strong leadership skills with experience managing 50+ team members.; Data-driven decision-making mindset with expertise in Power BI or Tableau.; Proven expertise in AI-driven automation and predictive analytics.,"Seattle, WA",Part-Time,$83k - $240k
Vice President of Customer Success,Tech,Implement predictive analytics to enhance customer insights.; Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.; Develop AI-driven automation strategies to optimize service workflows.,Experience in implementing workflow automation for large-scale operations.; Proven expertise in AI-driven automation and predictive analytics.; Data-driven decision-making mindset with expertise in Power BI or Tableau.,"Seattle, WA",Contract,$118k - $221k
Customer Service Operations Manager,SaaS,Implement predictive analytics to enhance customer insights.; Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.; Integrate AI-based chatbots and automation solutions for enhanced support.,Track record of reducing operational costs while improving CX efficiency.; Data-driven decision-making mindset with expertise in Power BI or Tableau.; Strong leadership skills with experience managing 50+ team members.,"Seattle, WA",Contract,$130k - $222k
Customer Experience Data Scientist,Finance,Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.; Implement predictive analytics to enhance customer insights.; Develop strategies to optimize customer journey and retention metrics.,"10+ years of experience in customer experience, AI, or operations leadership.; Proven expertise in AI-driven automation and predictive analytics.; Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.","Los Angeles, CA",Remote,$115k - $183k
Senior CX Manager,SaaS,Lead customer experience initiatives to improve engagement and retention.; Manage and mentor large customer support teams across multiple locations.; Develop strategies to optimize customer journey and retention metrics.,Track record of reducing operational costs while improving CX efficiency.; Proven expertise in AI-driven automation and predictive analytics.; Understanding of machine learning models applied to customer success.,"Dallas, TX",Remote,$128k - $201k
AI Implementation Consultant,Tech,"Streamline customer service operations, reducing costs while improving CSAT.; Manage and mentor large customer support teams across multiple locations.; Implement predictive analytics to enhance customer insights.","10+ years of experience in customer experience, AI, or operations leadership.; Experience in implementing workflow automation for large-scale operations.; Data-driven decision-making mindset with expertise in Power BI or Tableau.","Boston, MA",Contract,$136k - $163k
Director of Customer Experience,E-commerce,Lead customer experience initiatives to improve engagement and retention.; Integrate AI-based chatbots and automation solutions for enhanced support.; Drive innovation in customer success strategies using AI and ML technologies.,Proven expertise in AI-driven automation and predictive analytics.; Understanding of machine learning models applied to customer success.; Data-driven decision-making mindset with expertise in Power BI or Tableau.,"Chicago, IL",Contract,$81k - $159k
Senior CX Manager,Telecommunications,"Develop strategies to optimize customer journey and retention metrics.; Lead customer experience initiatives to improve engagement and retention.; Streamline customer service operations, reducing costs while improving CSAT.","Experience in implementing workflow automation for large-scale operations.; 10+ years of experience in customer experience, AI, or operations leadership.; Ability to drive customer satisfaction metrics and VoC programs.","Chicago, IL",Contract,$124k - $180k
Customer Experience Data Scientist,SaaS,"Streamline customer service operations, reducing costs while improving CSAT.; Integrate AI-based chatbots and automation solutions for enhanced support.; Drive innovation in customer success strategies using AI and ML technologies.","Excellent stakeholder management skills across cross-functional teams.; Strong leadership skills with experience managing 50+ team members.; Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.","Seattle, WA",Contract,$142k - $204k
Customer Insights Analyst,SaaS,"Implement predictive analytics to enhance customer insights.; Develop AI-driven automation strategies to optimize service workflows.; Collaborate cross-functionally with sales, marketing, and product teams.",Ability to drive customer satisfaction metrics and VoC programs.; Track record of reducing operational costs while improving CX efficiency.; Strong leadership skills with experience managing 50+ team members.,"Austin, TX",Contract,$82k - $179k
Vice President of Customer Success,SaaS,Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.; Develop strategies to optimize customer journey and retention metrics.; Develop AI-driven automation strategies to optimize service workflows.,"Experience in implementing workflow automation for large-scale operations.; Proven expertise in AI-driven automation and predictive analytics.; Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.","San Francisco, CA",Remote,$123k - $233k
Customer Support Transformation Lead,Finance,"Lead customer experience initiatives to improve engagement and retention.; Collaborate cross-functionally with sales, marketing, and product teams.; Manage and mentor large customer support teams across multiple locations.",Ability to drive customer satisfaction metrics and VoC programs.; Understanding of machine learning models applied to customer success.; Proven expertise in AI-driven automation and predictive analytics.,"New York, NY",Contract,$143k - $250k
AI Implementation Consultant,Healthcare,Develop strategies to optimize customer journey and retention metrics.; Integrate AI-based chatbots and automation solutions for enhanced support.; Lead customer experience initiatives to improve engagement and retention.,Understanding of machine learning models applied to customer success.; Strong leadership skills with experience managing 50+ team members.; Proven expertise in AI-driven automation and predictive analytics.,"Dallas, TX",Contract,$129k - $186k
Director of Customer Experience,Finance,"Develop strategies to optimize customer journey and retention metrics.; Develop AI-driven automation strategies to optimize service workflows.; Collaborate cross-functionally with sales, marketing, and product teams.","Understanding of machine learning models applied to customer success.; Ability to drive customer satisfaction metrics and VoC programs.; 10+ years of experience in customer experience, AI, or operations leadership.","New York, NY",Part-Time,$122k - $204k
Customer Support Transformation Lead,Telecommunications,"Integrate AI-based chatbots and automation solutions for enhanced support.; Develop AI-driven automation strategies to optimize service workflows.; Streamline customer service operations, reducing costs while improving CSAT.",Track record of reducing operational costs while improving CX efficiency.; Proven expertise in AI-driven automation and predictive analytics.; Experience in implementing workflow automation for large-scale operations.,"New York, NY",Remote,$90k - $214k
AI Strategist,SaaS,"Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.; Collaborate cross-functionally with sales, marketing, and product teams.; Integrate AI-based chatbots and automation solutions for enhanced support.","10+ years of experience in customer experience, AI, or operations leadership.; Experience in implementing workflow automation for large-scale operations.; Proven expertise in AI-driven automation and predictive analytics.","New York, NY",Part-Time,$138k - $244k
Head of Member Services,Hospitality,"Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.; Collaborate cross-functionally with sales, marketing, and product teams.; Drive innovation in customer success strategies using AI and ML technologies.","Track record of reducing operational costs while improving CX efficiency.; Ability to drive customer satisfaction metrics and VoC programs.; 10+ years of experience in customer experience, AI, or operations leadership.","Seattle, WA",Contract,$94k - $203k
Director of Customer Experience,Healthcare,Integrate AI-based chatbots and automation solutions for enhanced support.; Drive innovation in customer success strategies using AI and ML technologies.; Manage and mentor large customer support teams across multiple locations.,Strong leadership skills with experience managing 50+ team members.; Data-driven decision-making mindset with expertise in Power BI or Tableau.; Proven expertise in AI-driven automation and predictive analytics.,"Chicago, IL",Part-Time,$117k - $206k
Head of Member Services,Education,Lead customer experience initiatives to improve engagement and retention.; Develop strategies to optimize customer journey and retention metrics.; Drive innovation in customer success strategies using AI and ML technologies.,Ability to drive customer satisfaction metrics and VoC programs.; Experience in implementing workflow automation for large-scale operations.; Track record of reducing operational costs while improving CX efficiency.,"San Francisco, CA",Remote,$136k - $181k
Customer Experience Data Scientist,E-commerce,"Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.; Lead customer experience initiatives to improve engagement and retention.; Collaborate cross-functionally with sales, marketing, and product teams.",Data-driven decision-making mindset with expertise in Power BI or Tableau.; Proven expertise in AI-driven automation and predictive analytics.; Track record of reducing operational costs while improving CX efficiency.,"New York, NY",Contract,$89k - $229k
Head of Member Services,Hospitality,Implement predictive analytics to enhance customer insights.; Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.; Lead customer experience initiatives to improve engagement and retention.,Experience in implementing workflow automation for large-scale operations.; Ability to drive customer satisfaction metrics and VoC programs.; Proven expertise in AI-driven automation and predictive analytics.,"Los Angeles, CA",Full-Time,$83k - $171k
Customer Experience Data Scientist,Retail,Manage and mentor large customer support teams across multiple locations.; Develop strategies to optimize customer journey and retention metrics.; Implement predictive analytics to enhance customer insights.,"Ability to drive customer satisfaction metrics and VoC programs.; Proven expertise in AI-driven automation and predictive analytics.; 10+ years of experience in customer experience, AI, or operations leadership.","New York, NY",Remote,$144k - $197k
Senior CX Manager,E-commerce,Integrate AI-based chatbots and automation solutions for enhanced support.; Develop AI-driven automation strategies to optimize service workflows.; Drive innovation in customer success strategies using AI and ML technologies.,"Data-driven decision-making mindset with expertise in Power BI or Tableau.; Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.; Ability to drive customer satisfaction metrics and VoC programs.","Boston, MA",Part-Time,$106k - $235k
Vice President of Customer Success,E-commerce,"Collaborate cross-functionally with sales, marketing, and product teams.; Develop AI-driven automation strategies to optimize service workflows.; Lead customer experience initiatives to improve engagement and retention.","Proven expertise in AI-driven automation and predictive analytics.; Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.; 10+ years of experience in customer experience, AI, or operations leadership.","Los Angeles, CA",Part-Time,$104k - $201k
AI Strategist,Healthcare,Integrate AI-based chatbots and automation solutions for enhanced support.; Develop AI-driven automation strategies to optimize service workflows.; Lead customer experience initiatives to improve engagement and retention.,Track record of reducing operational costs while improving CX efficiency.; Ability to drive customer satisfaction metrics and VoC programs.; Proven expertise in AI-driven automation and predictive analytics.,"New York, NY",Part-Time,$101k - $210k
Head of Member Services,Retail,"Manage and mentor large customer support teams across multiple locations.; Streamline customer service operations, reducing costs while improving CSAT.; Develop AI-driven automation strategies to optimize service workflows.",Proven expertise in AI-driven automation and predictive analytics.; Data-driven decision-making mindset with expertise in Power BI or Tableau.; Track record of reducing operational costs while improving CX efficiency.,Remote,Remote,$134k - $200k
Vice President of Customer Success,Retail,Drive innovation in customer success strategies using AI and ML technologies.; Develop AI-driven automation strategies to optimize service workflows.; Integrate AI-based chatbots and automation solutions for enhanced support.,Strong leadership skills with experience managing 50+ team members.; Proven expertise in AI-driven automation and predictive analytics.; Excellent stakeholder management skills across cross-functional teams.,"Seattle, WA",Part-Time,$130k - $162k
Customer Service Operations Manager,E-commerce,"Develop strategies to optimize customer journey and retention metrics.; Streamline customer service operations, reducing costs while improving CSAT.; Develop AI-driven automation strategies to optimize service workflows.","Proven expertise in AI-driven automation and predictive analytics.; Track record of reducing operational costs while improving CX efficiency.; Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.","New York, NY",Contract,$145k - $246k
Vice President of Customer Success,Consulting,"Develop strategies to optimize customer journey and retention metrics.; Streamline customer service operations, reducing costs while improving CSAT.; Lead customer experience initiatives to improve engagement and retention.","Ability to drive customer satisfaction metrics and VoC programs.; 10+ years of experience in customer experience, AI, or operations leadership.; Strong leadership skills with experience managing 50+ team members.","Dallas, TX",Full-Time,$149k - $155k
Customer Support Transformation Lead,Finance,Lead customer experience initiatives to improve engagement and retention.; Manage and mentor large customer support teams across multiple locations.; Implement predictive analytics to enhance customer insights.,"Track record of reducing operational costs while improving CX efficiency.; 10+ years of experience in customer experience, AI, or operations leadership.; Data-driven decision-making mindset with expertise in Power BI or Tableau.","Austin, TX",Part-Time,$140k - $209k
AI Implementation Consultant,Healthcare,"Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.; Collaborate cross-functionally with sales, marketing, and product teams.; Streamline customer service operations, reducing costs while improving CSAT.",Track record of reducing operational costs while improving CX efficiency.; Experience in implementing workflow automation for large-scale operations.; Ability to drive customer satisfaction metrics and VoC programs.,"Seattle, WA",Part-Time,$124k - $245k
AI Implementation Consultant,SaaS,"Integrate AI-based chatbots and automation solutions for enhanced support.; Implement predictive analytics to enhance customer insights.; Collaborate cross-functionally with sales, marketing, and product teams.","10+ years of experience in customer experience, AI, or operations leadership.; Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.; Experience in implementing workflow automation for large-scale operations.","Boston, MA",Remote,$113k - $220k
Customer Service Operations Manager,Tech,Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.; Implement predictive analytics to enhance customer insights.; Drive innovation in customer success strategies using AI and ML technologies.,Ability to drive customer satisfaction metrics and VoC programs.; Strong leadership skills with experience managing 50+ team members.; Data-driven decision-making mindset with expertise in Power BI or Tableau.,"Boston, MA",Remote,$138k - $230k
Customer Insights Analyst,Healthcare,Develop AI-driven automation strategies to optimize service workflows.; Manage and mentor large customer support teams across multiple locations.; Integrate AI-based chatbots and automation solutions for enhanced support.,"Track record of reducing operational costs while improving CX efficiency.; 10+ years of experience in customer experience, AI, or operations leadership.; Strong leadership skills with experience managing 50+ team members.","Chicago, IL",Part-Time,$114k - $186k
AI Strategist,Consulting,"Lead customer experience initiatives to improve engagement and retention.; Streamline customer service operations, reducing costs while improving CSAT.; Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.","Proven expertise in AI-driven automation and predictive analytics.; 10+ years of experience in customer experience, AI, or operations leadership.; Ability to drive customer satisfaction metrics and VoC programs.","New York, NY",Full-Time,$133k - $185k
Senior CX Manager,Hospitality,"Collaborate cross-functionally with sales, marketing, and product teams.; Integrate AI-based chatbots and automation solutions for enhanced support.; Manage and mentor large customer support teams across multiple locations.","Strong leadership skills with experience managing 50+ team members.; Proven expertise in AI-driven automation and predictive analytics.; 10+ years of experience in customer experience, AI, or operations leadership.","Seattle, WA",Part-Time,$137k - $164k
Customer Support Transformation Lead,E-commerce,"Lead customer experience initiatives to improve engagement and retention.; Collaborate cross-functionally with sales, marketing, and product teams.; Streamline customer service operations, reducing costs while improving CSAT.",Strong leadership skills with experience managing 50+ team members.; Data-driven decision-making mindset with expertise in Power BI or Tableau.; Understanding of machine learning models applied to customer success.,"San Francisco, CA",Part-Time,$114k - $211k
AI Strategist,Telecommunications,Develop strategies to optimize customer journey and retention metrics.; Integrate AI-based chatbots and automation solutions for enhanced support.; Manage and mentor large customer support teams across multiple locations.,"10+ years of experience in customer experience, AI, or operations leadership.; Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.; Data-driven decision-making mindset with expertise in Power BI or Tableau.","Denver, CO",Contract,$95k - $186k
Head of Member Services,Retail,Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.; Integrate AI-based chatbots and automation solutions for enhanced support.; Implement predictive analytics to enhance customer insights.,"Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.; Strong leadership skills with experience managing 50+ team members.; Ability to drive customer satisfaction metrics and VoC programs.","Denver, CO",Full-Time,$135k - $181k
Director of Customer Experience,Finance,"Integrate AI-based chatbots and automation solutions for enhanced support.; Develop strategies to optimize customer journey and retention metrics.; Collaborate cross-functionally with sales, marketing, and product teams.",Proven expertise in AI-driven automation and predictive analytics.; Data-driven decision-making mindset with expertise in Power BI or Tableau.; Experience in implementing workflow automation for large-scale operations.,"Austin, TX",Remote,$126k - $184k
Head of Member Services,E-commerce,"Collaborate cross-functionally with sales, marketing, and product teams.; Develop AI-driven automation strategies to optimize service workflows.; Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.",Data-driven decision-making mindset with expertise in Power BI or Tableau.; Track record of reducing operational costs while improving CX efficiency.; Ability to drive customer satisfaction metrics and VoC programs.,"Austin, TX",Remote,$127k - $235k
Director of Customer Experience,Tech,"Collaborate cross-functionally with sales, marketing, and product teams.; Streamline customer service operations, reducing costs while improving CSAT.; Drive innovation in customer success strategies using AI and ML technologies.",Proven expertise in AI-driven automation and predictive analytics.; Strong leadership skills with experience managing 50+ team members.; Experience in implementing workflow automation for large-scale operations.,"Austin, TX",Contract,$91k - $229k
Customer Experience Data Scientist,E-commerce,Implement predictive analytics to enhance customer insights.; Drive innovation in customer success strategies using AI and ML technologies.; Develop strategies to optimize customer journey and retention metrics.,Proven expertise in AI-driven automation and predictive analytics.; Ability to drive customer satisfaction metrics and VoC programs.; Understanding of machine learning models applied to customer success.,"Boston, MA",Remote,$84k - $162k
Senior CX Manager,Finance,Manage and mentor large customer support teams across multiple locations.; Integrate AI-based chatbots and automation solutions for enhanced support.; Lead customer experience initiatives to improve engagement and retention.,Understanding of machine learning models applied to customer success.; Data-driven decision-making mindset with expertise in Power BI or Tableau.; Experience in implementing workflow automation for large-scale operations.,"Chicago, IL",Remote,$116k - $177k
Customer Experience Data Scientist,Healthcare,"Drive innovation in customer success strategies using AI and ML technologies.; Streamline customer service operations, reducing costs while improving CSAT.; Manage and mentor large customer support teams across multiple locations.",Proven expertise in AI-driven automation and predictive analytics.; Track record of reducing operational costs while improving CX efficiency.; Data-driven decision-making mindset with expertise in Power BI or Tableau.,"Austin, TX",Full-Time,$145k - $177k
AI Implementation Consultant,Telecommunications,Develop strategies to optimize customer journey and retention metrics.; Implement predictive analytics to enhance customer insights.; Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.,"Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.; Understanding of machine learning models applied to customer success.; Excellent stakeholder management skills across cross-functional teams.","New York, NY",Full-Time,$117k - $158k
Customer Service Operations Manager,Healthcare,"Lead customer experience initiatives to improve engagement and retention.; Manage and mentor large customer support teams across multiple locations.; Collaborate cross-functionally with sales, marketing, and product teams.",Strong leadership skills with experience managing 50+ team members.; Proven expertise in AI-driven automation and predictive analytics.; Data-driven decision-making mindset with expertise in Power BI or Tableau.,"New York, NY",Part-Time,$102k - $206k
Director of Customer Experience,Hospitality,"Manage and mentor large customer support teams across multiple locations.; Collaborate cross-functionally with sales, marketing, and product teams.; Integrate AI-based chatbots and automation solutions for enhanced support.",Data-driven decision-making mindset with expertise in Power BI or Tableau.; Excellent stakeholder management skills across cross-functional teams.; Strong leadership skills with experience managing 50+ team members.,"San Francisco, CA",Contract,$128k - $232k
Customer Support Transformation Lead,SaaS,"Implement predictive analytics to enhance customer insights.; Collaborate cross-functionally with sales, marketing, and product teams.; Develop strategies to optimize customer journey and retention metrics.",Proven expertise in AI-driven automation and predictive analytics.; Understanding of machine learning models applied to customer success.; Experience in implementing workflow automation for large-scale operations.,"Los Angeles, CA",Full-Time,$102k - $152k
Vice President of Customer Success,Consulting,"Develop AI-driven automation strategies to optimize service workflows.; Streamline customer service operations, reducing costs while improving CSAT.; Implement predictive analytics to enhance customer insights.","Track record of reducing operational costs while improving CX efficiency.; Experience in implementing workflow automation for large-scale operations.; 10+ years of experience in customer experience, AI, or operations leadership.","Denver, CO",Contract,$139k - $180k
AI Implementation Consultant,Consulting,"Develop AI-driven automation strategies to optimize service workflows.; Develop strategies to optimize customer journey and retention metrics.; Streamline customer service operations, reducing costs while improving CSAT.",Ability to drive customer satisfaction metrics and VoC programs.; Excellent stakeholder management skills across cross-functional teams.; Experience in implementing workflow automation for large-scale operations.,"Boston, MA",Contract,$94k - $236k
Customer Service Operations Manager,Tech,"Drive innovation in customer success strategies using AI and ML technologies.; Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.; Collaborate cross-functionally with sales, marketing, and product teams.",Data-driven decision-making mindset with expertise in Power BI or Tableau.; Excellent stakeholder management skills across cross-functional teams.; Strong leadership skills with experience managing 50+ team members.,"New York, NY",Remote,$96k - $190k
Vice President of Customer Success,Finance,"Collaborate cross-functionally with sales, marketing, and product teams.; Drive innovation in customer success strategies using AI and ML technologies.; Develop strategies to optimize customer journey and retention metrics.","10+ years of experience in customer experience, AI, or operations leadership.; Data-driven decision-making mindset with expertise in Power BI or Tableau.; Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.","San Francisco, CA",Contract,$113k - $161k
Customer Insights Analyst,Telecommunications,"Streamline customer service operations, reducing costs while improving CSAT.; Implement predictive analytics to enhance customer insights.; Drive innovation in customer success strategies using AI and ML technologies.","Track record of reducing operational costs while improving CX efficiency.; Proven expertise in AI-driven automation and predictive analytics.; Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.","Chicago, IL",Remote,$89k - $176k
Customer Service Operations Manager,Consulting,Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.; Drive innovation in customer success strategies using AI and ML technologies.; Develop strategies to optimize customer journey and retention metrics.,"10+ years of experience in customer experience, AI, or operations leadership.; Experience in implementing workflow automation for large-scale operations.; Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.","Chicago, IL",Full-Time,$136k - $168k
Customer Experience Data Scientist,Finance,"Collaborate cross-functionally with sales, marketing, and product teams.; Develop strategies to optimize customer journey and retention metrics.; Streamline customer service operations, reducing costs while improving CSAT.",Ability to drive customer satisfaction metrics and VoC programs.; Understanding of machine learning models applied to customer success.; Data-driven decision-making mindset with expertise in Power BI or Tableau.,Remote,Part-Time,$116k - $246k
Customer Service Operations Manager,Education,"Collaborate cross-functionally with sales, marketing, and product teams.; Manage and mentor large customer support teams across multiple locations.; Streamline customer service operations, reducing costs while improving CSAT.","Excellent stakeholder management skills across cross-functional teams.; Track record of reducing operational costs while improving CX efficiency.; Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.","Seattle, WA",Remote,$86k - $206k
Customer Support Transformation Lead,Education,"Drive innovation in customer success strategies using AI and ML technologies.; Streamline customer service operations, reducing costs while improving CSAT.; Integrate AI-based chatbots and automation solutions for enhanced support.",Experience in implementing workflow automation for large-scale operations.; Strong leadership skills with experience managing 50+ team members.; Proven expertise in AI-driven automation and predictive analytics.,"Dallas, TX",Remote,$107k - $248k
Customer Service Operations Manager,Retail,"Manage and mentor large customer support teams across multiple locations.; Collaborate cross-functionally with sales, marketing, and product teams.; Integrate AI-based chatbots and automation solutions for enhanced support.",Experience in implementing workflow automation for large-scale operations.; Proven expertise in AI-driven automation and predictive analytics.; Ability to drive customer satisfaction metrics and VoC programs.,Remote,Full-Time,$89k - $186k
Customer Service Operations Manager,Hospitality,"Drive innovation in customer success strategies using AI and ML technologies.; Develop strategies to optimize customer journey and retention metrics.; Streamline customer service operations, reducing costs while improving CSAT.","Data-driven decision-making mindset with expertise in Power BI or Tableau.; 10+ years of experience in customer experience, AI, or operations leadership.; Understanding of machine learning models applied to customer success.","Austin, TX",Contract,$126k - $164k
Senior CX Manager,Retail,Drive innovation in customer success strategies using AI and ML technologies.; Develop strategies to optimize customer journey and retention metrics.; Develop AI-driven automation strategies to optimize service workflows.,"Understanding of machine learning models applied to customer success.; 10+ years of experience in customer experience, AI, or operations leadership.; Ability to drive customer satisfaction metrics and VoC programs.","Austin, TX",Remote,$117k - $199k
